x,plus,minus,midpt
0.7201610527149268,-5 1,-4 1,1.5
0.8860072766183084,-5 1,-3 1,2
0.6983323425930406,-5 1,-2 1,2.5
0.9080949653700023,-5 1,-1 1,3
1,-5 1,0 1,3.5
1,-5 1,1 1,4
1,-5 1,2 1,4.5
1,-5 1,3 1,5
1,-5 1,4 1,5.5
0.9697248965219075,-5 1,5 1,6
1,-5 1,6 1,6.5
0.058286942113605245,-5 1,7 1,7
1,-5 1,8 1,7.5
0.8878272151709266,-5 1,9 1,8
0.5107531568924729,-5 1,10 1,8.5
0.8896508920408507,-5 1,11 1,9
1.421314887821877e-4,-5 1,12 1,9.5
0.37181390653765634,-5 1,13 1,10
1,-5 1,14 1,10.5
0.008844097443659379,-5 1,-5 3,11
0.41385603330815096,-5 1,-4 3,11.5
0.5169136910399537,-5 1,-3 3,12
0.3435514225157074,-5 1,-2 3,12.5
1,-5 1,-1 3,13
0.01971756936046503,-5 1,0 3,13.5
0.6393549977028589,-5 1,1 3,14
0.6144107792263879,-5 1,2 3,14.5
1,-5 1,3 3,15
1,-5 1,4 3,15.5
0.8914783149069214,-5 1,5 3,16
0.7721990058457635,-5 1,6 3,16.5
0.1222032615952803,-5 1,7 3,17
9.89668399442882e-4,-5 1,8 3,17.5
0.8933094914637484,-5 1,9 3,18
0.8178654388854282,-5 1,10 3,18.5
1.2608641305513285e-4,-5 1,11 3,19
0.3925547666050051,-5 1,12 3,19.5
0.008901163528764237,-5 1,13 3,20
0.5248245674510538,-5 1,14 3,20.5
1,-4 1,-3 1,2.5
0.060368494709023134,-4 1,-2 1,3
0.4430809325240001,-4 1,-1 1,3.5
0.789827139211155,-4 1,0 1,4
0.7596261707494737,-4 1,1 1,4.5
0.551343496718601,-4 1,2 1,5
0.7611865111554821,-4 1,3 1,5.5
0.7275878783803544,-4 1,4 1,6
0.4814713418075467,-4 1,5 1,6.5
0.667508081272172,-4 1,6 1,7
0.6926239371099892,-4 1,7 1,7.5
0.8434305552279534,-4 1,8 1,8
1,-4 1,9 1,8.5
1,-4 1,10 1,9
1,-4 1,11 1,9.5
3.4098433293846387e-4,-4 1,12 1,10
0.8161889135236823,-4 1,13 1,10.5
0.640668290313242,-4 1,14 1,11
0.5617080861013126,-4 1,-5 3,11.5
0.8296979381101173,-4 1,-4 3,12
0.9717167985877121,-4 1,-3 3,12.5
0.7350912948850924,-4 1,-2 3,13
0.6743919111199315,-4 1,-1 3,13.5
0.6245801042260452,-4 1,0 3,14
1,-4 1,1 3,14.5
1,-4 1,2 3,15
0.8538789746083412,-4 1,3 3,15.5
1,-4 1,4 3,16
