mc_id,sc_id,age,exposure,treatment,date,day,volume,replacement_volume,volume24,weekday,fecalsamp,hrs_bw_samplingpoints,volume_per_hour,volume24_corr,number of bees
1,1,1,pre,Control,2020-09-08,-6,12.5,,,Tuesday,no,24,,,10
1,1,1,pre,Control,2020-09-09,-5,11.5,,1,Wednesday,no,24,0.041666667,1,10
1,1,1,pre,Control,2020-09-10,-4,7.5,,4,Thursday,no,24,0.166666667,4,10
1,1,1,pre,Control,2020-09-11,-3,3.5,13,4,Friday,no,24,0.166666667,4,10
1,1,1,pre,Control,2020-09-12,-2,7,,6,Saturday,no,28.5,0.210526316,5.052631579,10
1,1,1,pre,Control,2020-09-13,-1,2,10,5,Sunday,no,24,0.208333333,5,10
1,1,1,pre,Control,2020-09-14,0,5.5,9.5,4.5,Monday,yes,19.5,0.230769231,5.538461538,10
1,1,1,during,Control,2020-09-15,1,5.5,10,4,Tuesday,no,24,0.166666667,4,10
1,1,1,during,Control,2020-09-16,2,5.5,10,4.5,Wednesday,yes,24,0.1875,4.5,10
1,1,1,during,Control,2020-09-17,3,5.5,10,4.5,Thursday,yes,24,0.1875,4.5,10
1,1,1,during,Control,2020-09-18,4,6,9.5,4,Friday,no,24,0.166666667,4,10
1,1,1,during,Control,2020-09-19,5,6,13,3.5,Saturday,yes,24,0.145833333,3.5,10
1,1,1,post,Control,2020-09-20,6,9.5,,3.5,Sunday,no,28.5,0.122807018,2.947368421,10
1,1,1,post,Control,2020-09-21,7,7,,2.5,Monday,no,19.5,0.128205128,3.076923077,10
1,1,1,post,Control,2020-09-22,8,0,12,7,Tuesday,yes,24,0.291666667,7,10
1,1,1,post,Control,2020-09-23,9,9,,3,Wednesday,no,24,0.125,3,10
1,1,1,post,Control,2020-09-24,10,5.5,12.5,3.5,Thursday,no,24,0.145833333,3.5,10
1,1,1,post,Control,2020-09-25,11,8.5,,4,Friday,no,24,0.166666667,4,10
1,1,1,post,Control,2020-09-26,12,3.5,12.5,5,Saturday,no,28.5,0.175438596,4.210526316,10
1,1,1,post,Control,2020-09-27,13,8.5,,4,Sunday,no,19.5,0.205128205,4.923076923,10
1,1,1,post,Control,2020-09-28,14,5.5,,3,Monday,yes,28.5,0.105263158,2.526315789,10
2,1,1,pre,DMSO,2020-09-08,-6,12,,,Tuesday,no,24,,,10
2,1,1,pre,DMSO,2020-09-09,-5,7,,5,Wednesday,no,24,0.208333333,5,10
2,1,1,pre,DMSO,2020-09-10,-4,4,,3,Thursday,no,24,0.125,3,10
2,1,1,pre,DMSO,2020-09-11,-3,1.5,13,2.5,Friday,no,24,0.104166667,2.5,10
2,1,1,pre,DMSO,2020-09-12,-2,10.5,,2.5,Saturday,no,28.5,0.087719298,2.105263158,10
2,1,1,pre,DMSO,2020-09-13,-1,5,10,5.5,Sunday,no,24,0.229166667,5.5,10
2,1,1,pre,DMSO,2020-09-14,0,6,9.5,4,Monday,yes,19.5,0.205128205,4.923076923,10
2,1,1,during,DMSO,2020-09-15,1,6.5,10,3,Tuesday,no,24,0.125,3,10
2,1,1,during,DMSO,2020-09-16,2,7,10,3,Wednesday,yes,24,0.125,3,10
2,1,1,during,DMSO,2020-09-17,3,7,10,3,Thursday,yes,24,0.125,3,10
2,1,1,during,DMSO,2020-09-18,4,7,10,3,Friday,no,24,0.125,3,10
2,1,1,during,DMSO,2020-09-19,5,7,13,3,Saturday,yes,24,0.125,3,10
2,1,1,post,DMSO,2020-09-20,6,10,,3,Sunday,no,28.5,0.105263158,2.526315789,10
2,1,1,post,DMSO,2020-09-21,7,7.5,,2.5,Monday,no,19.5,0.128205128,3.076923077,10
2,1,1,post,DMSO,2020-09-22,8,4,13,3.5,Tuesday,yes,24,0.145833333,3.5,10
2,1,1,post,DMSO,2020-09-23,9,10.5,,2.5,Wednesday,no,24,0.104166667,2.5,10
2,1,1,post,DMSO,2020-09-24,10,8.5,,2,Thursday,no,24,0.083333333,2,10
2,1,1,post,DMSO,2020-09-25,11,6,,2.5,Friday,no,24,0.104166667,2.5,10
2,1,1,post,DMSO,2020-09-26,12,1,12.5,5,Saturday,no,28.5,0.175438596,4.210526316,10
2,1,1,post,DMSO,2020-09-27,13,9.5,,3,Sunday,no,19.5,0.153846154,3.692307692,10
2,1,1,post,DMSO,2020-09-28,14,7.5,,2,Monday,yes,28.5,0.070175439,1.684210526,10
3,1,1,pre,1ppb,2020-09-08,-6,13,,,Tuesday,no,24,,,10
3,1,1,pre,1ppb,2020-09-09,-5,9,,4,Wednesday,no,24,0.166666667,4,10
3,1,1,pre,1ppb,2020-09-10,-4,5.5,,3.5,Thursday,no,24,0.145833333,3.5,10
3,1,1,pre,1ppb,2020-09-11,-3,1.5,13,4,Friday,no,24,0.166666667,4,10
3,1,1,pre,1ppb,2020-09-12,-2,11.5,,1.5,Saturday,no,28.5,0.052631579,1.263157895,10
3,1,1,pre,1ppb,2020-09-13,-1,8,10,3.5,Sunday,no,24,0.145833333,3.5,10
3,1,1,pre,1ppb,2020-09-14,0,7,10,3,Monday,yes,19.5,0.153846154,3.692307692,10
3,1,1,during,1ppb,2020-09-15,1,6,10,4,Tuesday,no,24,0.166666667,4,10
3,1,1,during,1ppb,2020-09-16,2,8,9.5,2,Wednesday,yes,24,0.083333333,2,10
3,1,1,during,1ppb,2020-09-17,3,6,10,3.5,Thursday,yes,24,0.145833333,3.5,10
3,1,1,during,1ppb,2020-09-18,4,6.5,10,3.5,Friday,no,24,0.145833333,3.5,10
3,1,1,during,1ppb,2020-09-19,5,7,13,3,Saturday,yes,24,0.125,3,10
3,1,1,post,1ppb,2020-09-20,6,10,,3,Sunday,no,28.5,0.105263158,2.526315789,10
3,1,1,post,1ppb,2020-09-21,7,8,,2,Monday,no,19.5,0.102564103,2.461538462,10
3,1,1,post,1ppb,2020-09-22,8,5,13,3,Tuesday,yes,24,0.125,3,10
3,1,1,post,1ppb,2020-09-23,9,10.5,,2.5,Wednesday,no,24,0.104166667,2.5,10
3,1,1,post,1ppb,2020-09-24,10,8,,2.5,Thursday,no,24,0.104166667,2.5,10
3,1,1,post,1ppb,2020-09-25,11,5.5,12.5,2.5,Friday,no,24,0.104166667,2.5,10
3,1,1,post,1ppb,2020-09-26,12,9,,3.5,Saturday,no,28.5,0.122807018,2.947368421,10
3,1,1,post,1ppb,2020-09-27,13,6.5,13,2.5,Sunday,no,19.5,0.128205128,3.076923077,10
3,1,1,post,1ppb,2020-09-28,14,9.5,,3.5,Monday,yes,28.5,0.122807018,2.947368421,10
4,1,1,pre,10 ppb,2020-09-08,-6,13,,,Tuesday,no,24,,,10
4,1,1,pre,10 ppb,2020-09-09,-5,10.5,,2.5,Wednesday,no,24,0.104166667,2.5,10
4,1,1,pre,10 ppb,2020-09-10,-4,6,,4.5,Thursday,no,24,0.1875,4.5,10
4,1,1,pre,10 ppb,2020-09-11,-3,2,13,4,Friday,no,24,0.166666667,4,10
4,1,1,pre,10 ppb,2020-09-12,-2,6.5,,6.5,Saturday,no,28.5,0.228070175,5.473684211,10
4,1,1,pre,10 ppb,2020-09-13,-1,1.5,10,5,Sunday,no,24,0.208333333,5,10
4,1,1,pre,10 ppb,2020-09-14,0,5,10,5,Monday,yes,19.5,0.256410256,6.153846154,10
4,1,1,during,10 ppb,2020-09-15,1,6,10,4,Tuesday,no,24,0.166666667,4,10
4,1,1,during,10 ppb,2020-09-16,2,5,9,5,Wednesday,yes,24,0.208333333,5,10
4,1,1,during,10 ppb,2020-09-17,3,2.5,10,6.5,Thursday,yes,24,0.270833333,6.5,10
4,1,1,during,10 ppb,2020-09-18,4,7.5,10,2.5,Friday,no,24,0.104166667,2.5,10
4,1,1,during,10 ppb,2020-09-19,5,6.5,13.5,3.5,Saturday,yes,24,0.145833333,3.5,10
4,1,1,post,10 ppb,2020-09-20,6,9,,4.5,Sunday,no,28.5,0.157894737,3.789473684,10
4,1,1,post,10 ppb,2020-09-21,7,6,,3,Monday,no,19.5,0.153846154,3.692307692,10
4,1,1,post,10 ppb,2020-09-22,8,2,12.5,4,Tuesday,yes,24,0.166666667,4,10
4,1,1,post,10 ppb,2020-09-23,9,9.5,,3,Wednesday,no,24,0.125,3,10
4,1,1,post,10 ppb,2020-09-24,10,6,,3.5,Thursday,no,24,0.145833333,3.5,10
4,1,1,post,10 ppb,2020-09-25,11,2.5,13,3.5,Friday,no,24,0.145833333,3.5,10
4,1,1,post,10 ppb,2020-09-26,12,8,,5,Saturday,no,28.5,0.175438596,4.210526316,10
4,1,1,post,10 ppb,2020-09-27,13,4,13,4,Sunday,no,19.5,0.205128205,4.923076923,10
4,1,1,post,10 ppb,2020-09-28,14,8.5,,4.5,Monday,yes,28.5,0.157894737,3.789473684,10
5,1,1,pre,100ppb,2020-09-08,-6,12.5,,,Tuesday,no,24,,,10
5,1,1,pre,100ppb,2020-09-09,-5,9,,3.5,Wednesday,no,24,0.145833333,3.5,10
5,1,1,pre,100ppb,2020-09-10,-4,5.5,,3.5,Thursday,no,24,0.145833333,3.5,10
5,1,1,pre,100ppb,2020-09-11,-3,2,13,3.5,Friday,no,24,0.145833333,3.5,10
5,1,1,pre,100ppb,2020-09-12,-2,9,,4,Saturday,no,28.5,0.140350877,3.368421053,10
5,1,1,pre,100ppb,2020-09-13,-1,5,10,4,Sunday,no,24,0.166666667,4,10
5,1,1,pre,100ppb,2020-09-14,0,7,10,3,Monday,yes,19.5,0.153846154,3.692307692,10
5,1,1,during,100ppb,2020-09-15,1,7,10,3,Tuesday,no,24,0.125,3,10
5,1,1,during,100ppb,2020-09-16,2,4.5,10,5.5,Wednesday,yes,24,0.229166667,5.5,10
5,1,1,during,100ppb,2020-09-17,3,8.5,10,1.5,Thursday,yes,24,0.0625,1.5,10
