mc_id,sc_id,age,exposure,treatment,date,day,volume,replacement_volume,volume24,information,
1,1,1,pre,Control,2020-09-08,-6,12.5,,,,
1,1,1,pre,Control,2020-09-09,-5,11.5,,1,,
1,1,1,pre,Control,2020-09-10,-4,7.5,,4,,
1,1,1,pre,Control,2020-09-11,-3,3.5,13,4,,
1,1,1,pre,Control,2020-09-12,-2,7,,6,,
1,1,1,pre,Control,2020-09-13,-1,2,10,5,,
1,1,1,pre,Control,2020-09-14,0,5.5,9.5,4.5,,
1,1,1,during,Control,2020-09-15,1,5.5,10,4,,
1,1,1,during,Control,2020-09-16,2,5.5,10,4.5,,
1,1,1,during,Control,2020-09-17,3,5.5,10,4.5,,
1,1,1,during,Control,2020-09-18,4,6,9.5,4,,
1,1,1,during,Control,2020-09-19,5,6,13,3.5,,
1,1,1,post,Control,2020-09-20,6,9.5,,3.5,,
1,1,1,post,Control,2020-09-21,7,7,,2.5,,
1,1,1,post,Control,2020-09-22,8,0,12,7,,
1,1,1,post,Control,2020-09-23,9,9,,3,,
1,1,1,post,Control,2020-09-24,10,5.5,12.5,3.5,,
1,1,1,post,Control,2020-09-25,11,8.5,,4,,
1,1,1,post,Control,2020-09-26,12,3.5,12.5,5,,
1,1,1,post,Control,2020-09-27,13,8.5,,4,,
1,1,1,post,Control,2020-09-28,14,5.5,,3,,
2,1,1,pre,DMSO,2020-09-08,-6,12,,,,
2,1,1,pre,DMSO,2020-09-09,-5,7,,5,,
2,1,1,pre,DMSO,2020-09-10,-4,4,,3,,
2,1,1,pre,DMSO,2020-09-11,-3,1.5,13,2.5,OG Value = <1.5,
2,1,1,pre,DMSO,2020-09-12,-2,10.5,,2.5,,
2,1,1,pre,DMSO,2020-09-13,-1,5,10,5.5,,
2,1,1,pre,DMSO,2020-09-14,0,6,9.5,4,,
2,1,1,during,DMSO,2020-09-15,1,6.5,10,3,,
2,1,1,during,DMSO,2020-09-16,2,7,10,3,,
2,1,1,during,DMSO,2020-09-17,3,7,10,3,,
2,1,1,during,DMSO,2020-09-18,4,7,10,3,,
2,1,1,during,DMSO,2020-09-19,5,7,13,3,,
2,1,1,post,DMSO,2020-09-20,6,10,,3,,
2,1,1,post,DMSO,2020-09-21,7,7.5,,2.5,,
2,1,1,post,DMSO,2020-09-22,8,4,13,3.5,,
2,1,1,post,DMSO,2020-09-23,9,10.5,,2.5,,
2,1,1,post,DMSO,2020-09-24,10,8.5,,2,,
2,1,1,post,DMSO,2020-09-25,11,6,,2.5,,
2,1,1,post,DMSO,2020-09-26,12,1,12.5,5,OG Value = <1.5,
2,1,1,post,DMSO,2020-09-27,13,9.5,,3,,
2,1,1,post,DMSO,2020-09-28,14,7.5,,2,,
3,1,1,pre,1ppb,2020-09-08,-6,13,,,,
3,1,1,pre,1ppb,2020-09-09,-5,9,,4,,
3,1,1,pre,1ppb,2020-09-10,-4,5.5,,3.5,,
3,1,1,pre,1ppb,2020-09-11,-3,1.5,13,4,,
3,1,1,pre,1ppb,2020-09-12,-2,11.5,,1.5,,
3,1,1,pre,1ppb,2020-09-13,-1,8,10,3.5,,
3,1,1,pre,1ppb,2020-09-14,0,7,10,3,,
3,1,1,during,1ppb,2020-09-15,1,6,10,4,,
3,1,1,during,1ppb,2020-09-16,2,8,9.5,2,,
3,1,1,during,1ppb,2020-09-17,3,6,10,3.5,,
3,1,1,during,1ppb,2020-09-18,4,6.5,10,3.5,,
3,1,1,during,1ppb,2020-09-19,5,7,13,3,,
3,1,1,post,1ppb,2020-09-20,6,10,,3,,
3,1,1,post,1ppb,2020-09-21,7,8,,2,,
3,1,1,post,1ppb,2020-09-22,8,5,13,3,,
3,1,1,post,1ppb,2020-09-23,9,10.5,,2.5,,
3,1,1,post,1ppb,2020-09-24,10,8,,2.5,,
3,1,1,post,1ppb,2020-09-25,11,5.5,12.5,2.5,,
3,1,1,post,1ppb,2020-09-26,12,9,,3.5,,
3,1,1,post,1ppb,2020-09-27,13,6.5,13,2.5,,
3,1,1,post,1ppb,2020-09-28,14,9.5,,3.5,,
4,1,1,pre,10 ppb,2020-09-08,-6,13,,,,
4,1,1,pre,10 ppb,2020-09-09,-5,10.5,,2.5,,
4,1,1,pre,10 ppb,2020-09-10,-4,6,,4.5,,
4,1,1,pre,10 ppb,2020-09-11,-3,2,13,4,OG Value = <2,
4,1,1,pre,10 ppb,2020-09-12,-2,6.5,,6.5,,
4,1,1,pre,10 ppb,2020-09-13,-1,1.5,10,5,OG Value = <1.5,
4,1,1,pre,10 ppb,2020-09-14,0,5,10,5,,
4,1,1,during,10 ppb,2020-09-15,1,6,10,4,,
4,1,1,during,10 ppb,2020-09-16,2,5,9,5,Sugar Syrup leaked - replaced tray,
4,1,1,during,10 ppb,2020-09-17,3,2.5,10,6.5,,
4,1,1,during,10 ppb,2020-09-18,4,7.5,10,2.5,,
4,1,1,during,10 ppb,2020-09-19,5,6.5,13.5,3.5,,
4,1,1,post,10 ppb,2020-09-20,6,9,,4.5,,
4,1,1,post,10 ppb,2020-09-21,7,6,,3,,
