x,plus,minus,midpt
0.720161053,-5 1,-4 1,1.5
0.886007277,-5 1,-3 1,2
0.698332343,-5 1,-2 1,2.5
0.908094965,-5 1,-1 1,3
1,-5 1,0 1,3.5
1,-5 1,1 1,4
1,-5 1,2 1,4.5
1,-5 1,3 1,5
1,-5 1,4 1,5.5
0.969724897,-5 1,5 1,6
1,-5 1,6 1,6.5
0.058286942,-5 1,7 1,7
1,-5 1,8 1,7.5
0.887827215,-5 1,9 1,8
0.510753157,-5 1,10 1,8.5
0.889650892,-5 1,11 1,9
1.42E-04,-5 1,12 1,9.5
0.371813907,-5 1,13 1,10
1,-5 1,14 1,10.5
0.008844097,-5 1,-5 3,11
1,-4 1,-3 1,2.5
0.060368495,-4 1,-2 1,3
0.443080933,-4 1,-1 1,3.5
0.789827139,-4 1,0 1,4
0.759626171,-4 1,1 1,4.5
0.551343497,-4 1,2 1,5
0.761186511,-4 1,3 1,5.5
0.727587878,-4 1,4 1,6
0.481471342,-4 1,5 1,6.5
0.667508081,-4 1,6 1,7
0.692623937,-4 1,7 1,7.5
0.843430555,-4 1,8 1,8
1,-4 1,9 1,8.5
1,-4 1,10 1,9
1,-4 1,11 1,9.5
3.41E-04,-4 1,12 1,10
0.816188914,-4 1,13 1,10.5
0.64066829,-4 1,14 1,11
0.829697938,-4 1,-4 3,12
0.399156836,-3 1,-2 1,3.5
0.5783303,-3 1,-1 1,4
1,-3 1,0 1,4.5
0.987800019,-3 1,1 1,5
0.684148702,-3 1,2 1,5.5
0.989829049,-3 1,3 1,6
0.911829414,-3 1,4 1,6.5
0.604949144,-3 1,5 1,7
0.819545408,-3 1,6 1,7.5
0.557029353,-3 1,7 1,8
1,-3 1,8 1,8.5
1,-3 1,9 1,9
0.791449515,-3 1,10 1,9.5
1,-3 1,11 1,10
3.13E-04,-3 1,12 1,10.5
0.653950504,-3 1,13 1,11
0.784979938,-3 1,14 1,11.5
0.773785172,-3 1,-3 3,13
0.625863048,-3 1,-2 3,13.5
1,-2 1,-1 1,4.5
0.616937481,-2 1,0 1,5
0.634128693,-2 1,1 1,5.5
0.895144429,-2 1,2 1,6
0.632828806,-2 1,3 1,6.5
0.668879203,-2 1,4 1,7
1,-2 1,5 1,7.5
0.729082409,-2 1,6 1,8
2.58E-04,-2 1,7 1,8.5
0.590680318,-2 1,8 1,9
0.398338613,-2 1,9 1,9.5
8.28E-04,-2 1,10 1,10
0.400798329,-2 1,11 1,10.5
0.418448103,-2 1,12 1,11
1.89E-04,-2 1,13 1,11.5
0.745726256,-2 1,14 1,12
1.74E-04,-2 1,-2 3,14
0.793075224,-1 1,0 1,5.5
0.821228828,-1 1,1 1,6
1,-1 1,2 1,6.5
0.822915706,-1 1,3 1,7
0.871581431,-1 1,4 1,7.5
1,-1 1,5 1,8
0.991862247,-1 1,6 1,8.5
1.46E-04,-1 1,7 1,9
0.738114284,-1 1,8 1,9.5
0.574781064,-1 1,9 1,10
0.017312447,-1 1,10 1,10.5
0.579518242,-1 1,11 1,11
0.032254652,-1 1,12 1,11.5
0.002206131,-1 1,13 1,12
1,-1 1,14 1,12.5
1,-1 1,-1 3,15
1,0 1,1 1,6.5
0.993899621,0 1,2 1,7
1,0 1,3 1,7.5
1,0 1,4 1,8
0.845163037,0 1,5 1,8.5
1,0 1,6 1,9
0.326045482,0 1,7 1,9.5
1,0 1,8 1,10
1,0 1,9 1,10.5
0.577144793,0 1,10 1,11
1,0 1,11 1,11.5
2.26E-04,0 1,12 1,12
0.457447906,0 1,13 1,12.5
1,0 1,14 1,13
0.125994186,0 1,0 3,16
1,1 1,2 1,7.5
1,1 1,3 1,8
1,1 1,4 1,8.5
0.873371738,1 1,5 1,9
1,1 1,6 1,9.5
0.254915774,1 1,7 1,10
1,1 1,8 1,10.5
0.99594118,1 1,9 1,11
0.552476006,1 1,10 1,11.5
0.997986933,1 1,11 1,12
1.98E-04,1 1,12 1,12.5
0.430378855,1 1,13 1,13
1,1 1,14 1,13.5
0.69976678,1 1,1 3,17
1,2 1,3 1,8.5
1,2 1,4 1,9
1,2 1,5 1,9.5
1,2 1,6 1,10
